x0,y0,x1,y1,name,elev_in,elev_out,length,junc_in,junc_out,roughness,elev_in_of,elev_ou_of
63.5599999987,200.3439999986,74.620000001,173.3359999992,c1,26.725,26.225,29.18414059,j4,j3,0.015,0,0.03
102.5700000003,107.8089999994,121.2600000016,58.5659999987,c2,24.765,24.685,52.67030014,j1,j5,0.015,0,0
74.620000001,173.3359999992,92.2600000016,132.0899999989,c3,26.195,25.095,44.86166364,j3,j2,0.015,0,0.07
92.2600000016,132.0899999989,102.5700000003,107.8089999994,c4,25.025,24.815,26.37889134,j2,j1,0.015,0,0.05
63.1000000015,11.2499999991,45.0599999987,-20.1870000008,c5,24.505,24.4516479,14.87498223,j7,o1,0.015,0,0
85.9600000009,38.0549999988,63.1000000015,11.2499999991,c6,24.535,24.505,35.22842261,j6,j7,0.015,0,0
121.2600000016,58.5659999987,85.9600000009,38.0549999988,c7,24.685,24.535,40.83075865,j5,j6,0.015,0,0
86.4899999984,44.6329999994,85.9600000009,38.0549999988,c8,24.568,24.535,6.599756519,j8,j6,0.015,0,0
90.4499999993,40.2409999995,85.9600000009,38.0549999988,c9,24.56,24.535,4.995472217,j9,j6,0.015,0,0
126.1900000013,68.0589999994,121.2600000016,58.5659999987,c10,24.7385,24.685,10.69564785,j10,j5,0.015,0,0
131.4400000013,63.1499999994,121.2600000016,58.5659999987,c11,24.7408,24.685,11.16611395,j11,j5,0.015,0,0
90.4899999984,127.2689999994,92.2600000016,132.0899999989,c12,25.1207,25.095,5.135353998,j12,j2,0.015,0,0.07
94.7100000009,129.2929999987,92.2600000016,132.0899999989,c13,25.1136,25.095,3.718270045,j13,j2,0.015,0,0.07
